po_number,po_item,company_code,plant,creation_date,ekkn_kostl,cost_center,func_area,func_area_txt
4805000015,70,3000,10M2,20190520,1017494,1017494,17,Technology & Innovation
4805000015,80,4100,3200,20261203,1032531,1032531,32,Supply Chain
4805000016,10,1000,2100,20210316,1032568,1032568,32,Supply Chain
4805000016,20,2000,10M2,20200312,1027605,1027605,27,Manufacturing Support
4805000016,30,3000,10M1,20210217,1012642,1012642,12,Information Technology
4805000016,40,4100,4100,20260104,1015679,1015679,15,EHSS
4805000017,50,1000,1033,20181015,1028716,1028716,28,SS Global Procurement
4805000017,60,2000,1033,20230215,1020753,1020753,20,Legal
4805000017,70,3000,2100,20231128,1025790,1025790,25,Human Resources
4805000017,80,4100,4100,20180526,1009827,1009827,9,Executive Office
4805000018,10,1000,10M1,20171008,1027864,1027864,27,Manufacturing Support
4805000018,20,2000,10M2,20240203,1025001,1025001,25,Human Resources
4805000018,30,3000,2100,20261126,1014038,1014038,14,SS Facility Mgt
4805000018,40,4100,4100,20200404,1010075,1010075,10,Finance
4805000019,50,1000,1031,20190603,1030112,1030112,30,Digitization
4805000019,60,2000,10M2,20230616,1012149,1012149,12,Information Technology
4805000019,70,3000,4100,20200903,1027186,1027186,27,Manufacturing Support
4805000019,80,4100,10M2,20220816,1030223,1030223,30,Digitization
4805000020,10,1000,10M1,20230205,1023260,1023260,23,Corporate Affairs
4805000020,20,2000,1000,20230724,1028297,1028297,28,SS Global Procurement
4805000020,30,3000,1033,20220709,1010334,1010334,10,Finance
4805000020,40,4100,1031,20210621,1030371,1030371,30,Digitization
4805000021,50,1000,2100,20211018,1028408,1028408,28,SS Global Procurement
4805000021,60,2000,4100,20190807,1028445,1028445,28,SS Global Procurement
4805000021,70,3000,1000,20251006,1017482,1017482,17,Technology & Innovation
4805000021,80,4100,3200,20261025,1028519,1028519,28,SS Global Procurement
4805000022,10,1000,1033,20251123,1012556,1012556,12,Information Technology
4805000022,20,2000,1100,20221204,1012593,1012593,12,Information Technology
4805000022,30,3000,2100,20210603,1030630,1030630,30,Digitization
4805000022,40,4100,1000,20210513,1027667,1027667,27,Manufacturing Support
4805000023,50,1000,3200,20260618,1017704,1017704,17,Technology & Innovation
4805000023,60,2000,10M1,20200201,1017741,1017741,17,Technology & Innovation
4805000023,70,3000,10M1,20230813,1023778,1023778,23,Corporate Affairs
4805000023,80,4100,10M1,20230920,1030815,1030815,30,Digitization
4805000024,10,1000,1100,20180207,1030852,1030852,30,Digitization
4805000024,20,2000,3200,20210622,1012889,1009174,12,Information Technology
4805000024,30,3000,4100,20170825,1009026,1009026,9,Executive Office
4805000024,40,4100,2100,20240922,1012063,1012063,12,Information Technology
4805000025,50,1000,1033,20180218,1009100,1009100,9,Executive Office
4805000025,60,2000,1100,20200617,1028137,1028137,28,SS Global Procurement
4805000025,70,3000,1031,20260803,1028174,1028174,28,SS Global Procurement
4805000025,80,4100,1100,20221205,1028211,1028211,28,SS Global Procurement
4805000026,10,1000,1031,20250919,1027248,1027248,27,Manufacturing Support
4805000026,20,2000,10M1,20241225,1023285,1023285,23,Corporate Affairs
4805000026,30,3000,1000,20180624,1027322,1027322,27,Manufacturing Support
4805000026,40,4100,2100,20190516,1025359,1025359,25,Human Resources
4805000027,50,1000,3200,20211108,1028396,1028396,28,SS Global Procurement
4805000027,60,2000,3200,20240324,1017433,1017433,17,Technology & Innovation
4805000027,70,3000,2100,20200620,1012470,1012470,12,Information Technology
4805000027,80,4100,4100,20200323,1030507,1030507,30,Digitization
4805000028,10,1000,10M1,20240721,1017544,1017544,17,Technology & Innovation
4805000028,20,2000,2100,20250823,1023581,1023581,23,Corporate Affairs
4805000028,30,3000,3200,20231019,1030618,1030618,30,Digitization
4805000028,40,4100,1000,20220422,1015655,1015655,15,EHSS
4805000029,50,1000,10M1,20180121,1020692,1020692,20,Legal
4805000029,60,2000,1031,20230623,1027729,1027729,27,Manufacturing Support
4805000029,70,3000,2100,20170808,1028766,1028766,28,SS Global Procurement
4805000029,80,4100,1000,20250307,1028803,1028803,28,SS Global Procurement
4805000030,10,1000,10M1,20190320,1027840,1027840,27,Manufacturing Support
4805000030,20,2000,1031,20241210,1012877,1012877,12,Information Technology
4805000030,30,3000,1031,20200411,1009014,1009014,9,Executive Office
4805000030,40,4100,1000,20240805,1028051,1028051,28,SS Global Procurement
4805000031,50,1000,10M2,20210701,1020088,1020088,20,Legal
4805000031,60,2000,2100,20220125,1030125,1030125,30,Digitization
4805000031,70,3000,3200,20210804,1012162,1012162,12,Information Technology
4805000031,80,4100,10M2,20240219,1025199,1025199,25,Human Resources
4805000032,10,1000,3200,20170418,1017236,1017236,17,Technology & Innovation
4805000032,20,2000,10M1,20230427,1027273,1027273,27,Manufacturing Support
4805000032,30,3000,1033,20201014,1027310,1027310,27,Manufacturing Support
4805000032,40,4100,4100,20200728,1035347,1035347,35,Sales & Marketing
4805000033,50,1000,10M2,20200810,1012384,1012384,12,Information Technology
4805000033,60,2000,3200,20250226,1030421,1030421,30,Digitization
4805000033,70,3000,1033,20240728,1010458,1010458,10,Finance
4805000033,80,4100,1100,20200920,1009495,1009495,9,Executive Office
4805000034,10,1000,1000,20191218,1028532,1028532,28,SS Global Procurement
4805000034,20,2000,1031,20261214,1009569,1009569,9,Executive Office
4805000034,30,3000,1000,20221102,1023606,1023606,23,Corporate Affairs
4805000034,40,4100,3200,20250306,1012643,1012643,12,Information Technology
4805000035,50,1000,1031,20221003,1025680,1025680,25,Human Resources
4805000035,60,2000,3200,20240907,1014717,1014717,14,SS Facility Mgt
4805000035,70,3000,1000,20231225,1027754,1027754,27,Manufacturing Support
4805000035,80,4100,2100,20210716,1012791,1012791,12,Information Technology
4805000036,10,1000,2100,20240616,1015828,1015828,15,EHSS
4805000036,20,2000,1000,20230105,1032865,1032865,32,Supply Chain
4805000036,30,3000,10M1,20200811,1010002,1010002,10,Finance
4805000036,40,4100,2100,20180719,1020039,1020039,20,Legal
4805000037,50,1000,1033,20230512,1030076,1030076,30,Digitization
4805000037,60,2000,1000,20251111,1017113,1017113,17,Technology & Innovation
4805000037,70,3000,1033,20181228,1032150,1032150,32,Supply Chain
4805000037,80,4100,1100,20180114,1027187,1027187,27,Manufacturing Support
4805000038,10,1000,1031,20240307,1030224,1030224,30,Digitization
4805000038,20,2000,4100,20241109,1028261,1028261,28,SS Global Procurement
4805000038,30,3000,1031,20180405,1012298,1012298,12,Information Technology
4805000038,40,4100,4100,20220327,1009335,1009335,9,Executive Office
4805000039,50,1000,1000,20200910,1027372,1027372,27,Manufacturing Support
4805000039,60,2000,10M2,20210705,1015409,1015409,15,EHSS
4805000039,70,3000,1100,20181106,1028446,1028446,28,SS Global Procurement
4805000039,80,4100,3200,20260804,1025483,1025483,25,Human Resources
4805000040,10,1000,10M1,20250925,1027520,1027520,27,Manufacturing Support
4805000040,20,2000,1031,20261111,1009557,1009557,9,Executive Office
4805000040,30,3000,1100,20180304,1025594,1025594,25,Human Resources
4805000040,40,4100,4100,20190707,1023631,1023631,23,Corporate Affairs
4805000041,50,1000,10M1,20240902,1023668,1023668,23,Corporate Affairs
4805000041,60,2000,4100,20171214,1012705,1012705,12,Information Technology
4805000041,70,3000,1031,20251121,1010742,1010742,10,Finance
4805000041,80,4100,1033,20260424,1032779,1032779,32,Supply Chain
4805000042,10,1000,1100,20200223,1015816,1015816,15,EHSS
4805000042,20,2000,10M2,20170125,1027853,1027853,27,Manufacturing Support
4805000042,30,3000,10M2,20221104,1028890,1028890,28,SS Global Procurement
4805000042,40,4100,2100,20250203,1030027,1030027,30,Digitization
4805000043,50,1000,10M1,20251120,1028064,1028064,28,SS Global Procurement
4805000043,60,2000,4100,20230713,1012101,1012101,12,Information Technology
4805000043,70,3000,1000,20200811,1023138,1023138,23,Corporate Affairs
4805000043,80,4100,1031,20261213,1023175,1023175,23,Corporate Affairs
4805000044,10,1000,1100,20200510,1012212,1012212,12,Information Technology
4805000044,20,2000,10M1,20250626,1028249,1028249,28,SS Global Procurement
4805000044,30,3000,3200,20220214,1035286,1035286,35,Sales & Marketing
4805000044,40,4100,1033,20200805,1025323,1025323,25,Human Resources
4805000045,50,1000,10M2,20190806,1017360,1017360,17,Technology & Innovation
4805000045,60,2000,2100,20230402,1015397,1015397,15,EHSS
4805000045,70,3000,2100,20250224,1027434,1027434,27,Manufacturing Support
4805000045,80,4100,1000,20190115,1015471,1015471,15,EHSS
4805000046,10,1000,1100,20250411,1012508,1012508,12,Information Technology
4805000046,20,2000,10M2,20230820,1010545,1010545,10,Finance
4805000046,30,3000,2100,20230103,1010582,1010582,10,Finance
4805000046,40,4100,1100,20211105,1012619,1012619,12,Information Technology
4805000047,50,1000,1100,20230122,1012656,1012656,12,Information Technology
4805000047,60,2000,1031,20170601,1027693,1027693,27,Manufacturing Support
4805000047,70,3000,4100,20180911,1030730,1030730,30,Digitization
4805000047,80,4100,2100,20201027,1027767,1027767,27,Manufacturing Support
4805000048,10,1000,2100,20240903,1027804,1027804,27,Manufacturing Support
4805000048,20,2000,10M1,20200306,1035841,1035841,35,Sales & Marketing
4805000048,30,3000,1033,20220224,1017878,1035163,17,Technology & Innovation
4805000048,40,4100,2100,20231003,1027015,1027015,27,Manufacturing Support
4805000049,50,1000,4100,20230115,1032052,1032052,32,Supply Chain
4805000049,60,2000,1031,20181113,1032089,1032089,32,Supply Chain
4805000049,70,3000,10M2,20250922,1012126,1012126,12,Information Technology
4805000049,80,4100,1031,20230414,1020163,1020163,20,Legal
4805000050,10,1000,1000,20200201,1020200,1020200,20,Legal
4805000050,20,2000,10M1,20171028,1023237,1023237,23,Corporate Affairs
4805000050,30,3000,1031,20210921,1030274,1030274,30,Digitization
4805000050,40,4100,2100,20220125,1015311,1015311,15,EHSS
4805000051,50,1000,1100,20190924,1028348,1028348,28,SS Global Procurement
4805000051,60,2000,2100,20210826,1020385,1020385,20,Legal
4805000051,70,3000,1100,20211021,1017422,1017422,17,Technology & Innovation
4805000051,80,4100,2100,20250727,1009459,1009459,9,Executive Office
4805000052,10,1000,1100,20220316,1027496,1027496,27,Manufacturing Support
4805000052,20,2000,2100,20250823,1012533,1012533,12,Information Technology
4805000052,30,3000,1031,20251122,1027570,1027570,27,Manufacturing Support
4805000052,40,4100,1000,20220814,1010607,1010607,10,Finance
4805000053,50,1000,1033,20241223,1035644,1035644,35,Sales & Marketing
4805000053,60,2000,1033,20261118,1012681,1012681,12,Information Technology
4805000053,70,3000,2100,20260902,1017718,1017718,17,Technology & Innovation
4805000053,80,4100,1000,20201025,1015755,1015755,15,EHSS
4805000054,10,1000,1031,20200505,1020792,1020792,20,Legal
4805000054,20,2000,3200,20231121,1014829,1014829,14,SS Facility Mgt
4805000054,30,3000,4100,20251006,1020866,1020866,20,Legal
4805000054,40,4100,3200,20171119,1030003,1030003,30,Digitization
4805000055,50,1000,3200,20250503,1012040,1012040,12,Information Technology
4805000055,60,2000,10M1,20191112,1027077,1027077,27,Manufacturing Support
4805000055,70,3000,1000,20241110,1017114,1017114,17,Technology & Innovation
4805000055,80,4100,1033,20250320,1028151,1028151,28,SS Global Procurement
4805000056,10,1000,10M1,20210206,1012188,1012188,12,Information Technology
4805000056,20,2000,4100,20171104,1032225,1032225,32,Supply Chain
4805000056,30,3000,4100,20230722,1023262,1023262,23,Corporate Affairs
4805000056,40,4100,10M1,20240117,1010299,1010299,10,Finance
4805000057,50,1000,2100,20250124,1030336,1030336,30,Digitization
4805000057,60,2000,1000,20220528,1025373,1025373,25,Human Resources
4805000057,70,3000,1000,20211006,1030410,1030410,30,Digitization
4805000057,80,4100,1000,20181110,1012447,1012447,12,Information Technology
4805000058,10,1000,10M1,20220126,1023484,1023484,23,Corporate Affairs
4805000058,20,2000,10M1,20210914,1027521,1027521,27,Manufacturing Support
4805000058,30,3000,1033,20170622,1027558,1027558,27,Manufacturing Support
4805000058,40,4100,2100,20220409,1010595,1010595,10,Finance
4805000059,50,1000,4100,20191110,1028632,1028632,28,SS Global Procurement
4805000059,60,2000,1000,20191002,1010669,1010669,10,Finance
4805000059,70,3000,1033,20221113,1028706,1028706,28,SS Global Procurement
4805000059,80,4100,4100,20180526,1025743,1025743,25,Human Resources
4805000060,10,1000,1031,20250111,1023780,1023780,23,Corporate Affairs
4805000060,20,2000,1100,20180803,1025817,1025817,25,Human Resources
4805000060,30,3000,2100,20170209,1012854,1012854,12,Information Technology
4805000060,40,4100,2100,20180617,1014891,1014891,14,SS Facility Mgt
4805000061,50,1000,1033,20240523,1035028,1035028,35,Sales & Marketing
4805000061,60,2000,10M1,20250105,1027065,1027065,27,Manufacturing Support
4805000061,70,3000,10M2,20200617,1032102,1032102,32,Supply Chain
4805000061,80,4100,1033,20200525,1027139,1027139,27,Manufacturing Support
4805000062,10,1000,1100,20260818,1020176,1020176,20,Legal
4805000062,20,2000,1100,20200216,1017213,1017213,17,Technology & Innovation
4805000062,30,3000,1100,20240122,1017250,1017250,17,Technology & Innovation
4805000062,40,4100,3200,20200809,1012287,1012287,12,Information Technology
4805000063,50,1000,10M2,20260718,1009324,1009324,9,Executive Office
4805000063,60,2000,3200,20200804,1012361,1012361,12,Information Technology
4805000063,70,3000,10M1,20240615,1035398,1035398,35,Sales & Marketing
4805000063,80,4100,4100,20200711,1028435,1028435,28,SS Global Procurement
4805000064,10,1000,3200,20210325,1010472,1010472,10,Finance
4805000064,20,2000,4100,20260609,1027509,1027509,27,Manufacturing Support
4805000064,30,3000,4100,20220208,1035546,1035546,35,Sales & Marketing
4805000064,40,4100,1033,20231005,1025583,1025583,25,Human Resources
4805000065,50,1000,4100,20170113,1027620,1027620,27,Manufacturing Support
4805000065,60,2000,4100,20220708,1032657,1032657,32,Supply Chain
4805000065,70,3000,3200,20260725,1035694,1035694,35,Sales & Marketing
4805000065,80,4100,10M2,20230615,1010731,1010731,10,Finance
4805000066,10,1000,1031,20180714,1012768,1012768,12,Information Technology
4805000066,20,2000,1031,20200928,1020805,1020805,20,Legal
4805000066,30,3000,10M1,20260518,1030842,1030842,30,Digitization
4805000066,40,4100,1000,20240803,1028879,1028879,28,SS Global Procurement
4805000067,50,1000,3200,20260828,1017016,1017016,17,Technology & Innovation
4805000067,60,2000,2100,20190318,1025053,1025053,25,Human Resources
4805000067,70,3000,1031,20240815,1025090,1025090,25,Human Resources
4805000067,80,4100,10M1,20261212,1028127,1028127,28,SS Global Procurement
4805000068,10,1000,2100,20201220,1028164,1028164,28,SS Global Procurement
4805000068,20,2000,4100,20180311,1027201,1027201,27,Manufacturing Support
4805000068,30,3000,4100,20180921,1032238,1032238,32,Supply Chain
4805000068,40,4100,4100,20211019,1012275,1012275,12,Information Technology
4805000069,50,1000,10M2,20190918,1012312,1012312,12,Information Technology
4805000069,60,2000,1000,20180528,1012349,1012349,12,Information Technology
4805000069,70,3000,1000,20240319,1030386,1030386,30,Digitization
4805000069,80,4100,2100,20170910,1030423,1030423,30,Digitization
4805000070,10,1000,3200,20170305,1030460,1030460,30,Digitization
4805000070,20,2000,2100,20250803,1010497,1010497,10,Finance
4805000070,30,3000,1031,20221008,1017534,1017534,17,Technology & Innovation
4805000070,40,4100,1031,20201127,1027571,1027571,27,Manufacturing Support
4805000071,50,1000,10M1,20210624,1032608,1032608,32,Supply Chain
4805000071,60,2000,1000,20170715,1030645,1030645,30,Digitization
4805000071,70,3000,1031,20230716,1012682,1012682,12,Information Technology
4805000071,80,4100,3200,20220404,1010719,1010719,10,Finance
4805000072,10,1000,1033,20180114,1014756,1014756,14,SS Facility Mgt
4805000072,20,2000,10M2,20210419,1028793,1028793,28,SS Global Procurement
4805000072,30,3000,2100,20200414,1017830,1017830,17,Technology & Innovation
4805000072,40,4100,3200,20201106,1010867,1012152,10,Finance
4805000073,50,1000,4100,20190511,1025004,1025004,25,Human Resources
4805000073,60,2000,1031,20250411,1032041,1032041,32,Supply Chain
4805000073,70,3000,2100,20230217,1009078,1009078,9,Executive Office
4805000073,80,4100,1100,20201203,1035115,1035115,35,Sales & Marketing
4805000074,10,1000,1100,20190122,1027152,1027152,27,Manufacturing Support
4805000074,20,2000,4100,20211020,1012189,1012189,12,Information Technology
4805000074,30,3000,10M2,20200927,1015226,1015226,15,EHSS
4805000074,40,4100,3200,20240916,1027263,1027263,27,Manufacturing Support
4805000075,50,1000,1031,20180617,1010300,1010300,10,Finance
4805000075,60,2000,10M1,20220403,1023337,1023337,23,Corporate Affairs
4805000075,70,3000,1000,20191124,1027374,1027374,27,Manufacturing Support
4805000075,80,4100,1031,20240814,1017411,1017411,17,Technology & Innovation
4805000076,10,1000,1000,20241210,1030448,1030448,30,Digitization
4805000076,20,2000,10M2,20250410,1010485,1010485,10,Finance
4805000076,30,3000,4100,20180409,1028522,1028522,28,SS Global Procurement
4805000076,40,4100,1100,20170808,1020559,1020559,20,Legal
4805000077,50,1000,1033,20181102,1012596,1012596,12,Information Technology
4805000077,60,2000,4100,20251228,1035633,1035633,35,Sales & Marketing
4805000077,70,3000,1100,20240323,1035670,1035670,35,Sales & Marketing
4805000077,80,4100,3200,20230214,1012707,1012707,12,Information Technology
4805000078,10,1000,10M2,20250308,1027744,1027744,27,Manufacturing Support
4805000078,20,2000,1100,20200203,1027781,1027781,27,Manufacturing Support
4805000078,30,3000,1000,20190310,1027818,1027818,27,Manufacturing Support
4805000078,40,4100,3200,20261028,1023855,1023855,23,Corporate Affairs
4805000079,50,1000,4100,20190927,1015892,1015892,15,EHSS
4805000079,60,2000,10M1,20230803,1032029,1032029,32,Supply Chain
4805000079,70,3000,1000,20260324,1012066,1012066,12,Information Technology
4805000079,80,4100,4100,20221207,1012103,1012103,12,Information Technology
4805000080,10,1000,2100,20190207,1030140,1030140,30,Digitization
4805000080,20,2000,10M1,20190414,1030177,1030177,30,Digitization
4805000080,30,3000,10M2,20201107,1020214,1020214,20,Legal
4805000080,40,4100,2100,20170103,1028251,1028251,28,SS Global Procurement
4805000081,50,1000,4100,20180706,1014288,1014288,14,SS Facility Mgt
4805000081,60,2000,1000,20210411,1027325,1027325,27,Manufacturing Support
4805000081,70,3000,3200,20260420,1032362,1032362,32,Supply Chain
4805000081,80,4100,2100,20220208,1025399,1025399,25,Human Resources
4805000082,10,1000,10M1,20200602,1010436,1010436,10,Finance
4805000082,20,2000,2100,20210816,1025473,1025473,25,Human Resources
4805000082,30,3000,1100,20250603,1012510,1012510,12,Information Technology
4805000082,40,4100,3200,20210216,1015547,1015547,15,EHSS
4805000083,50,1000,3200,20200821,1010584,1010584,10,Finance
4805000083,60,2000,1031,20170510,1012621,1012621,12,Information Technology
4805000083,70,3000,10M2,20170124,1010658,1010658,10,Finance
4805000083,80,4100,10M1,20191105,1023695,1023695,23,Corporate Affairs
4805000084,10,1000,10M2,20220822,1030732,1030732,30,Digitization
4805000084,20,2000,1100,20230105,1035769,1035769,35,Sales & Marketing
4805000084,30,3000,1033,20240810,1027806,1027806,27,Manufacturing Support
4805000084,40,4100,2100,20250521,1027843,1027843,27,Manufacturing Support
4805000085,50,1000,1033,20220411,1028880,1028880,28,SS Global Procurement
4805000085,60,2000,10M1,20220521,1012017,1012017,12,Information Technology
4805000085,70,3000,1031,20260201,1030054,1030054,30,Digitization
4805000085,80,4100,1000,20240924,1009091,1009091,9,Executive Office
4805000086,10,1000,1100,20210315,1009128,1009128,9,Executive Office
4805000086,20,2000,4100,20260818,1010165,1010165,10,Finance
4805000086,30,3000,1100,20260220,1014202,1014202,14,SS Facility Mgt
4805000086,40,4100,1033,20170705,1014239,1014239,14,SS Facility Mgt
4805000087,50,1000,10M2,20180711,1025276,1025276,25,Human Resources
4805000087,60,2000,1100,20170728,1009313,1009313,9,Executive Office
4805000087,70,3000,1031,20241120,1020350,1020350,20,Legal
4805000087,80,4100,1000,20171211,1027387,1027387,27,Manufacturing Support
4805000088,10,1000,1033,20261224,1012424,1012424,12,Information Technology
4805000088,20,2000,1031,20260523,1032461,1032461,32,Supply Chain
4805000088,30,3000,2100,20260817,1010498,1010498,10,Finance
4805000088,40,4100,3200,20171104,1025535,1025535,25,Human Resources
4805000089,50,1000,3200,20210426,1027572,1027572,27,Manufacturing Support
4805000089,60,2000,3200,20230818,1028609,1028609,28,SS Global Procurement
4805000089,70,3000,3200,20190527,1035646,1035646,35,Sales & Marketing
4805000089,80,4100,1033,20230613,1027683,1027683,27,Manufacturing Support
4805000090,10,1000,2100,20191216,1030720,1030720,30,Digitization
4805000090,20,2000,4100,20170317,1030757,1030757,30,Digitization
4805000090,30,3000,1000,20240416,1028794,1028794,28,SS Global Procurement
4805000090,40,4100,10M2,20170317,1012831,1012831,12,Information Technology
4805000091,50,1000,4100,20230605,1027868,1027868,27,Manufacturing Support
4805000091,60,2000,1031,20250323,1025005,1025005,25,Human Resources
4805000091,70,3000,1031,20230624,1015042,1015042,15,EHSS
4805000091,80,4100,1000,20211109,1028079,1028079,28,SS Global Procurement
4805000092,10,1000,4100,20250206,1012116,1012116,12,Information Technology
4805000092,20,2000,1000,20190102,1027153,1027153,27,Manufacturing Support
4805000092,30,3000,10M2,20220106,1027190,1027190,27,Manufacturing Support
4805000092,40,4100,1033,20230720,1014227,1014227,14,SS Facility Mgt
4805000093,50,1000,4100,20260815,1023264,1023264,23,Corporate Affairs
4805000093,60,2000,1031,20170920,1030301,1030301,30,Digitization
4805000093,70,3000,1033,20170226,1012338,1012338,12,Information Technology
4805000093,80,4100,4100,20220916,1010375,1010375,10,Finance
4805000094,10,1000,10M1,20211006,1020412,1020412,20,Legal
4805000094,20,2000,2100,20170915,1027449,1027449,27,Manufacturing Support
4805000094,30,3000,3200,20190201,1023486,1023486,23,Corporate Affairs
4805000094,40,4100,3200,20240604,1027523,1027523,27,Manufacturing Support
4805000095,50,1000,1000,20261116,1030560,1030560,30,Digitization
4805000095,60,2000,2100,20171108,1014597,1014597,14,SS Facility Mgt
4805000095,70,3000,10M1,20231002,1015634,1015634,15,EHSS
4805000095,80,4100,1100,20181011,1030671,1030671,30,Digitization
4805000096,10,1000,10M1,20180515,1015708,1015708,15,EHSS
4805000096,20,2000,4100,20190427,1012745,1012745,12,Information Technology
4805000096,30,3000,10M1,20170726,1035782,1035782,35,Sales & Marketing
4805000096,40,4100,2100,20240203,1009819,1009819,9,Executive Office
4805000097,50,1000,4100,20240905,1032856,1009141,32,Supply Chain
4805000097,60,2000,4100,20260923,1035893,1035893,35,Sales & Marketing
4805000097,70,3000,2100,20210905,1027030,1027030,27,Manufacturing Support
4805000097,80,4100,10M1,20261017,1028067,1028067,28,SS Global Procurement
