po_number,po_item,company_code,plant,creation_date,cost_center_wbs,func_area,func_area_txt
4805000023,60,2000,10M1,20200201,1017741,17,Technology & Innovation
4805000024,10,1000,1100,20180207,1030852,30,Digitization
4805000024,40,4100,2100,20240922,1012063,12,Information Technology
4805000025,70,3000,1031,20260803,1028174,28,SS Global Procurement
4509000011,40,1000,4100,20240717,1028506,28,SS Global Procurement
4805000027,50,1000,3200,20211108,1028396,28,SS Global Procurement
4805000027,80,4100,4100,20200323,1030507,30,Digitization
4805000028,30,3000,3200,20231019,1030618,30,Digitization
4805000029,60,2000,1031,20230623,1027729,27,Manufacturing Support
4509000013,10,2000,4100,20180610,1014691,14,SS Facility Mgt
4805000030,40,4100,1000,20240805,1028051,28,SS Global Procurement
4805000031,70,3000,3200,20210804,1012162,12,Information Technology
4805000032,20,2000,10M1,20230427,1027273,27,Manufacturing Support
4805000033,50,1000,10M2,20200810,1012384,12,Information Technology
4509000015,60,3000,1100,20171119,1032876,32,Supply Chain
4805000034,30,3000,1000,20221102,1023606,23,Corporate Affairs
4805000035,60,2000,3200,20240907,1014717,14,SS Facility Mgt
4805000036,10,1000,2100,20240616,1015828,15,EHSS
4805000036,40,4100,2100,20180719,1020039,20,Legal
4509000016,30,4100,1033,20250615,1009161,9,Executive Office
4805000038,20,2000,4100,20241109,1028261,28,SS Global Procurement
4805000039,50,1000,1000,20200910,1027372,27,Manufacturing Support
4805000039,80,4100,3200,20260804,1025483,25,Human Resources
4805000040,30,3000,1100,20180304,1025594,25,Human Resources
4509000018,80,1000,10M2,20191011,1027346,27,Manufacturing Support
4805000042,10,1000,1100,20200223,1015816,15,EHSS
4805000042,40,4100,2100,20250203,1030027,30,Digitization
4805000043,70,3000,1000,20200811,1023138,23,Corporate Affairs
4805000044,20,2000,10M1,20250626,1028249,28,SS Global Procurement
4509000020,50,2000,1100,20221109,1017531,17,Technology & Innovation
4805000045,80,4100,1000,20190115,1015471,15,EHSS
4805000046,30,3000,2100,20230103,1010582,10,Finance
4805000047,60,2000,1031,20170601,1027693,27,Manufacturing Support
4805000048,10,1000,2100,20240903,1027804,27,Manufacturing Support
4509000021,20,3000,3200,20181225,1035716,35,Sales & Marketing
4805000049,70,3000,10M2,20250922,1012126,12,Information Technology
4805000050,20,2000,10M1,20171028,1023237,23,Corporate Affairs
4805000051,50,1000,1100,20190924,1028348,28,SS Global Procurement
4805000051,80,4100,2100,20250727,1009459,9,Executive Office
4509000023,70,4100,2100,20200919,1030001,30,Digitization
4805000053,60,2000,1033,20261118,1012681,12,Information Technology
4805000054,10,1000,1031,20200505,1020792,20,Legal
4805000054,40,4100,3200,20171119,1030003,30,Digitization
4805000055,70,3000,1000,20241110,1017114,17,Technology & Innovation
4509000025,40,1000,4100,20190901,1012186,12,Information Technology
4805000057,50,1000,2100,20250124,1030336,30,Digitization
4805000057,80,4100,1000,20181110,1012447,12,Information Technology
4805000058,30,3000,1033,20170622,1027558,27,Manufacturing Support
4805000059,60,2000,1000,20191002,1010669,10,Finance
4509000026,10,2000,1033,20180621,1009371,9,Executive Office
4805000060,40,4100,2100,20180617,1014891,14,SS Facility Mgt
4805000061,70,3000,10M2,20200617,1032102,32,Supply Chain
4805000062,20,2000,1100,20200216,1012704,17,Technology & Innovation
4805000063,50,1000,10M2,20260718,1009324,9,Executive Office
4509000028,60,3000,2100,20240610,1027556,27,Manufacturing Support
4805000064,30,3000,4100,20220208,1035546,35,Sales & Marketing
4805000065,60,2000,4100,20220708,1032657,32,Supply Chain
4805000066,10,1000,1031,20180714,1012768,12,Information Technology
4805000066,40,4100,1000,20240803,1028879,28,SS Global Procurement
4509000030,30,4100,10M2,20230714,1030741,30,Digitization
4805000068,20,2000,4100,20180311,1027201,27,Manufacturing Support
4805000069,50,1000,10M2,20190918,1012312,12,Information Technology
4805000069,80,4100,2100,20170910,1030423,30,Digitization
4805000070,30,3000,1031,20221008,1017534,17,Technology & Innovation
4509000031,80,1000,2100,20180406,1028026,28,SS Global Procurement
4805000072,10,1000,1033,20180114,1014756,14,SS Facility Mgt
4805000072,40,4100,3200,20201106,1012152,10,Finance
4805000073,70,3000,2100,20230217,1009078,9,Executive Office
4805000074,20,2000,4100,20211020,1012189,12,Information Technology
4509000033,50,2000,10M1,20190606,1010211,10,Finance
4805000075,80,4100,1031,20240814,1017411,17,Technology & Innovation
4805000076,30,3000,4100,20180409,1028522,28,SS Global Procurement
4805000077,60,2000,4100,20251228,1035633,35,Sales & Marketing
4805000078,10,1000,10M2,20250308,1027744,27,Manufacturing Support
4509000035,20,3000,1000,20230807,1020396,20,Legal
4805000079,70,3000,1000,20260324,1012066,12,Information Technology
4805000080,20,2000,10M1,20190414,1030177,30,Digitization
4805000081,50,1000,4100,20180706,1014288,14,SS Facility Mgt
4805000081,80,4100,2100,20220208,1025399,25,Human Resources
4509000036,70,4100,3200,20241123,1020581,20,Legal
4805000083,60,2000,1031,20170510,1012621,12,Information Technology
4805000084,10,1000,10M2,20220822,1030732,30,Digitization
4805000084,40,4100,2100,20250521,1027843,27,Manufacturing Support
4805000085,70,3000,1031,20260201,1030054,30,Digitization
4509000038,40,1000,10M1,20191104,1027766,27,Manufacturing Support
4805000087,50,1000,10M2,20180711,1025276,25,Human Resources
4805000087,80,4100,1000,20171211,1027387,27,Manufacturing Support
4805000088,30,3000,2100,20260817,1010498,10,Finance
4805000089,60,2000,3200,20230818,1028609,28,SS Global Procurement
4509000040,10,2000,10M1,20250421,1027051,27,Manufacturing Support
4805000090,40,4100,10M2,20170317,1012831,12,Information Technology
4805000091,70,3000,1031,20230624,1015042,15,EHSS
4805000092,20,2000,1000,20190102,1027153,27,Manufacturing Support
4805000093,50,1000,4100,20260815,1023264,23,Corporate Affairs
4509000041,60,3000,1031,20180112,1032236,32,Supply Chain
4805000094,30,3000,3200,20190201,1023486,23,Corporate Affairs
4805000095,60,2000,2100,20171108,1014597,14,SS Facility Mgt
4805000096,10,1000,10M1,20180515,1015708,15,EHSS
4805000096,40,4100,2100,20240203,1009819,9,Executive Office
4509000043,30,4100,10M1,20260904,1012421,12,Information Technology
4805000098,20,2000,1031,20210421,1014141,14,SS Facility Mgt
4805000099,50,1000,3200,20240820,1012252,12,Information Technology
4805000099,80,4100,10M2,20240725,1030363,30,Digitization
4805000100,30,3000,1100,20240411,1025474,25,Human Resources
4509000045,80,1000,4100,20240227,1015606,15,EHSS
4805000102,10,1000,1033,20210826,1028696,28,SS Global Procurement
4805000102,40,4100,10M2,20180528,1017807,17,Technology & Innovation
4805000103,70,3000,1033,20250624,1012018,12,Information Technology
4805000104,20,2000,1033,20230622,1010129,10,Finance
4509000046,50,2000,10M2,20261003,1017791,17,Technology & Innovation
4805000105,80,4100,1033,20251202,1032351,32,Supply Chain
4805000106,30,3000,4100,20220518,1028462,28,SS Global Procurement
4805000107,60,2000,10M1,20241119,1012573,12,Information Technology
4805000108,10,1000,10M1,20210227,1020684,20,Legal
4509000048,20,3000,3200,20250503,1035076,35,Sales & Marketing
4805000109,70,3000,10M1,20221011,1028006,28,SS Global Procurement
4805000110,20,2000,1100,20180802,1015117,15,EHSS
4805000111,50,1000,2100,20250205,1025228,25,Human Resources
4805000111,80,4100,1033,20210624,1010339,10,Finance
4509000050,70,4100,3200,20171020,1017261,17,Technology & Innovation
4805000113,60,2000,1031,20251209,1014561,14,SS Facility Mgt
4805000114,10,1000,3200,20230715,1030672,30,Digitization
4805000114,40,4100,4100,20240602,1028783,28,SS Global Procurement
4805000115,70,3000,2100,20250822,1012894,12,Information Technology
4509000051,40,1000,1000,20190201,1009446,9,Executive Office
4805000117,50,1000,1033,20240903,1027216,27,Manufacturing Support
4805000117,80,4100,2100,20230524,1014327,14,SS Facility Mgt
4805000118,30,3000,1100,20180508,1020438,20,Legal
4805000119,60,2000,1033,20251117,1010549,10,Finance
4509000053,10,2000,1000,20190817,1017631,17,Technology & Innovation
4805000120,40,4100,4100,20250928,1009771,9,Executive Office
4805000121,70,3000,10M1,20180813,1020882,20,Legal
4805000122,20,2000,10M2,20210125,1028093,28,SS Global Procurement
4805000123,50,1000,10M1,20250101,1035204,35,Sales & Marketing
4509000055,60,3000,1100,20200923,1030816,30,Digitization
4805000124,30,3000,10M2,20261128,1015175,27,Manufacturing Support
4805000125,60,2000,1000,20181011,1027537,27,Manufacturing Support
4805000126,10,1000,1031,20180804,1025648,25,Human Resources
4805000126,40,4100,1000,20261127,1027759,27,Manufacturing Support
4509000056,30,4100,1031,20170910,1023101,23,Corporate Affairs
4805000128,20,2000,1000,20240409,1030081,30,Digitization
4805000129,50,1000,1031,20221215,1009192,9,Executive Office
4805000129,80,4100,2100,20191019,1010303,10,Finance
4805000130,30,3000,2100,20180206,1020414,20,Legal
4509000058,80,1000,10M2,20210426,1025286,25,Human Resources
4805000132,10,1000,4100,20170514,1012636,12,Information Technology
4805000132,40,4100,1000,20200307,1012747,12,Information Technology
4805000133,70,3000,10M1,20221120,1032858,32,Supply Chain
4805000134,20,2000,1033,20170214,1028069,28,SS Global Procurement
4509000060,50,2000,4100,20220220,1014471,14,SS Facility Mgt
4805000135,80,4100,1031,20170510,1009291,9,Executive Office
4805000136,30,3000,1033,20190323,1027402,27,Manufacturing Support
4805000137,60,2000,1031,20241125,1025513,25,Human Resources
4805000138,10,1000,1100,20240126,1014624,14,SS Facility Mgt
4509000061,20,3000,10M2,20260809,1012656,12,Information Technology
4805000139,70,3000,4100,20220108,1010846,10,Finance
4805000140,20,2000,10M1,20260326,1012057,12,Information Technology
4805000141,50,1000,10M1,20240802,1035168,35,Sales & Marketing
4805000141,80,4100,10M2,20200110,1014279,14,SS Facility Mgt
4509000063,70,4100,10M1,20211021,1012841,12,Information Technology
4805000143,60,2000,10M2,20261124,1012501,12,Information Technology
4805000144,10,1000,1000,20170713,1035612,35,Sales & Marketing
4805000144,40,4100,1000,20210517,1032723,32,Supply Chain
4805000145,70,3000,1100,20210907,1012119,9,Executive Office
4509000065,40,1000,2100,20211218,1012126,12,Information Technology
4805000147,50,1000,3200,20200815,1009156,9,Executive Office
4805000147,80,4100,2100,20260605,1027267,27,Manufacturing Support
4805000148,30,3000,3200,20221004,1012378,12,Information Technology
4805000149,60,2000,10M1,20211011,1028489,28,SS Global Procurement
4509000066,10,2000,1033,20250321,1025311,25,Human Resources
4805000150,40,4100,2100,20260410,1025711,25,Human Resources
4805000151,70,3000,10M1,20210523,1015822,15,EHSS
4805000152,20,2000,1100,20251204,1030033,30,Digitization
4805000153,50,1000,1033,20200912,1028144,28,SS Global Procurement
4509000068,60,3000,10M2,20210626,1028496,28,SS Global Procurement
4805000154,30,3000,10M1,20200310,1009366,9,Executive Office
4805000155,60,2000,1100,20190616,1023477,23,Corporate Affairs
4805000156,10,1000,1033,20180105,1027588,27,Manufacturing Support
4805000156,40,4100,3200,20170302,1012699,12,Information Technology
4509000070,30,4100,1000,20251115,1023681,23,Corporate Affairs
4805000158,20,2000,1100,20180811,1025021,25,Human Resources
4805000159,50,1000,10M2,20171116,1023132,23,Corporate Affairs
4805000159,80,4100,10M1,20221126,1025243,25,Human Resources
4805000160,30,3000,1031,20240701,1015354,15,EHSS
4509000071,80,1000,4100,20190620,1027866,27,Manufacturing Support
4805000162,10,1000,10M1,20250512,1028576,28,SS Global Procurement
4805000162,40,4100,4100,20170811,1015687,15,EHSS
4805000163,70,3000,1000,20220822,1015798,15,EHSS
4805000164,20,2000,1033,20190825,1015009,15,EHSS
4509000073,50,2000,10M1,20251001,1028151,28,SS Global Procurement
4805000165,80,4100,10M2,20220322,1027231,27,Manufacturing Support
4805000166,30,3000,1033,20230726,1035342,35,Sales & Marketing
4805000167,60,2000,1033,20221225,1032453,32,Supply Chain
4805000168,10,1000,1031,20200919,1010564,10,Finance
4509000075,20,3000,1033,20220914,1010336,10,Finance
4805000169,70,3000,4100,20240222,1032786,32,Supply Chain
4805000170,20,2000,2100,20210627,1030897,30,Digitization
4805000171,50,1000,2100,20220228,1030108,30,Digitization
4805000171,80,4100,3200,20230910,1012219,12,Information Technology
4509000076,70,4100,10M1,20260318,1015521,15,EHSS
4805000173,60,2000,2100,20241217,1012441,12,Information Technology
4805000174,10,1000,1031,20220719,1032552,32,Supply Chain
4805000174,40,4100,10M1,20221222,1014663,14,SS Facility Mgt
4805000175,70,3000,1033,20200412,1027774,27,Manufacturing Support
4509000078,40,1000,10M1,20250127,1015706,15,EHSS
4805000177,50,1000,1000,20250821,1014096,14,SS Facility Mgt
4805000177,80,4100,1033,20210517,1035207,35,Sales & Marketing
4805000178,30,3000,1100,20231115,1028318,28,SS Global Procurement
4805000179,60,2000,3200,20250606,1030429,30,Digitization
4509000080,10,2000,2100,20230402,1012891,12,Information Technology
4805000180,40,4100,3200,20220421,1020651,20,Legal
4805000181,70,3000,3200,20200205,1012762,12,Information Technology
4805000182,20,2000,1100,20230125,1020873,20,Legal
4805000183,50,1000,2100,20190911,1020084,20,Legal
4509000081,60,3000,1033,20200828,1028176,28,SS Global Procurement
4805000184,30,3000,2100,20241204,1010306,10,Finance
4805000185,60,2000,1000,20180812,1027417,27,Manufacturing Support
4805000186,10,1000,4100,20220202,1015528,15,EHSS
4805000186,40,4100,1033,20231218,1009546,20,Legal
4509000083,30,4100,2100,20200726,1027361,27,Manufacturing Support
4805000188,20,2000,4100,20220213,1025861,25,Human Resources
4805000189,50,1000,10M2,20250206,1027072,27,Manufacturing Support
4805000189,80,4100,1100,20250726,1012183,12,Information Technology
4805000190,30,3000,3200,20240828,1027294,27,Manufacturing Support
4509000085,80,1000,3200,20240419,1030546,30,Digitization
4805000192,10,1000,1031,20181016,1015516,15,EHSS
4805000192,40,4100,2100,20191214,1028627,28,SS Global Procurement
4805000193,70,3000,3200,20221126,1010738,10,Finance
4805000194,20,2000,4100,20221206,1032849,32,Supply Chain
4509000086,50,2000,10M1,20250621,1030731,30,Digitization
4805000195,80,4100,1033,20210821,1028171,28,SS Global Procurement
4805000196,30,3000,1000,20210920,1032282,32,Supply Chain
4805000197,60,2000,4100,20240201,1009393,9,Executive Office
4805000198,10,1000,1031,20210407,1012504,12,Information Technology
4509000088,20,3000,1100,20211112,1012016,12,Information Technology
4805000199,70,3000,4100,20210804,1030726,30,Digitization
4805000200,20,2000,1000,20190827,1012837,12,Information Technology
4805000201,50,1000,1033,20200124,1009048,9,Executive Office
4805000201,80,4100,1031,20191220,1014159,14,SS Facility Mgt
4509000090,70,4100,2100,20210819,1032201,32,Supply Chain
4805000203,60,2000,1000,20200314,1030381,30,Digitization
4805000204,10,1000,10M2,20190219,1028492,28,SS Global Procurement
4805000204,40,4100,2100,20190622,1027603,27,Manufacturing Support
4805000205,70,3000,1100,20191025,1032714,32,Supply Chain
4509000091,40,1000,4100,20180722,1009386,9,Executive Office
4805000207,50,1000,3200,20251019,1028036,28,SS Global Procurement
4805000207,80,4100,10M1,20241114,1025147,25,Human Resources
4805000208,30,3000,4100,20230612,1020258,20,Legal
4805000209,60,2000,1031,20260610,1023369,23,Corporate Affairs
4509000093,10,2000,1031,20171109,1012571,12,Information Technology
4805000210,40,4100,4100,20210823,1032591,32,Supply Chain
4805000211,70,3000,2100,20251201,1015702,15,EHSS
4805000212,20,2000,1100,20190103,1017813,17,Technology & Innovation
4805000213,50,1000,4100,20181225,1023024,23,Corporate Affairs
4509000095,60,3000,4100,20230509,1035756,35,Sales & Marketing
4805000214,30,3000,1031,20180525,1012246,12,Information Technology
4805000215,60,2000,10M2,20250807,1020357,20,Legal
4805000216,10,1000,10M1,20171207,1017468,17,Technology & Innovation
4805000216,40,4100,10M1,20191211,1028579,28,SS Global Procurement
4509000096,30,4100,1000,20260803,1028041,28,SS Global Procurement
4805000218,20,2000,1033,20250314,1015086,17,Technology & Innovation
4805000219,50,1000,4100,20220509,1032012,32,Supply Chain
4805000219,80,4100,3200,20181113,1014123,14,SS Facility Mgt
4805000220,30,3000,1031,20240126,1032234,32,Supply Chain
4509000098,80,1000,10M1,20170621,1012226,12,Information Technology
4805000222,10,1000,1000,20180827,1028456,28,SS Global Procurement
4805000222,40,4100,1031,20240901,1012567,12,Information Technology
4805000223,70,3000,2100,20260417,1015678,15,EHSS
4805000224,20,2000,10M2,20190420,1027789,27,Manufacturing Support
4509000100,50,2000,10M1,20201025,1009411,9,Executive Office
4805000225,80,4100,10M1,20190104,1035111,35,Sales & Marketing
4805000226,30,3000,4100,20240426,1032222,32,Supply Chain
4805000227,60,2000,1000,20230813,1020333,20,Legal
4805000228,10,1000,10M1,20221221,1030444,30,Digitization
4509000101,20,3000,10M1,20190416,1028596,28,SS Global Procurement
4805000229,70,3000,3200,20260720,1028666,28,SS Global Procurement
4805000230,20,2000,1100,20260911,1035777,35,Sales & Marketing
4805000231,50,1000,4100,20210817,1012888,12,Information Technology
4805000231,80,4100,1000,20200607,1020099,20,Legal
4509000103,70,4100,2100,20240301,1017781,17,Technology & Innovation
4805000233,60,2000,10M2,20200816,1017321,17,Technology & Innovation
4805000234,10,1000,2100,20240823,1027432,27,Manufacturing Support
4805000234,40,4100,1000,20200309,1014543,14,SS Facility Mgt
4805000235,70,3000,2100,20240904,1025654,25,Human Resources
4509000105,40,1000,1033,20231228,1027066,27,Manufacturing Support
4805000237,50,1000,1031,20210407,1035876,35,Sales & Marketing
4805000237,80,4100,2100,20210115,1030087,30,Digitization
4805000238,30,3000,10M1,20240509,1009198,9,Executive Office
4805000239,60,2000,1031,20241209,1012309,12,Information Technology
4509000106,10,2000,10M1,20180515,1025251,25,Human Resources
4805000240,40,4100,2100,20240810,1010531,10,Finance
4805000241,70,3000,1100,20261024,1014642,14,SS Facility Mgt
4805000242,20,2000,1100,20240819,1028753,28,SS Global Procurement
4805000243,50,1000,1000,20190327,1035864,35,Sales & Marketing
4509000108,60,3000,10M1,20220610,1025436,25,Human Resources
4805000244,30,3000,4100,20260822,1014186,14,SS Facility Mgt
4805000245,60,2000,10M2,20251219,1027297,27,Manufacturing Support
4805000246,10,1000,1031,20251006,1012408,12,Information Technology
4805000246,40,4100,4100,20200122,1025519,25,Human Resources
4509000110,30,4100,10M1,20260501,1027621,27,Manufacturing Support
4805000248,20,2000,10M1,20260513,1027741,27,Manufacturing Support
4805000249,50,1000,2100,20200908,1020017,25,Human Resources
4805000249,80,4100,10M2,20200505,1035063,35,Sales & Marketing
4805000250,30,3000,1100,20221210,1020174,20,Legal
4509000111,80,1000,2100,20220724,1023806,23,Corporate Affairs
4805000252,10,1000,2100,20260518,1032396,32,Supply Chain
4805000252,40,4100,4100,20250118,1014507,14,SS Facility Mgt
4805000253,70,3000,10M1,20190724,1027618,27,Manufacturing Support
4805000254,20,2000,1100,20201002,1030729,30,Digitization
4509000113,50,2000,10M2,20231008,1014091,14,SS Facility Mgt
4805000255,80,4100,2100,20230406,1012051,12,Information Technology
4805000256,30,3000,1033,20170724,1030162,30,Digitization
4805000257,60,2000,1033,20230921,1027273,27,Manufacturing Support
4805000258,10,1000,1100,20171109,1010384,10,Finance
4509000115,20,3000,1031,20240606,1035276,35,Sales & Marketing
4805000259,70,3000,2100,20210916,1025606,25,Human Resources
4805000260,20,2000,1000,20190824,1027717,27,Manufacturing Support
4805000261,50,1000,1100,20180504,1035828,35,Sales & Marketing
4805000261,80,4100,10M2,20230514,1032039,32,Supply Chain
4509000116,70,4100,3200,20261206,1012461,12,Information Technology
4805000263,60,2000,3200,20260118,1027261,27,Manufacturing Support
4805000264,10,1000,2100,20240424,1012372,12,Information Technology
4805000264,40,4100,2100,20201202,1025483,25,Human Resources
4805000265,70,3000,2100,20230709,1015594,15,EHSS
4509000118,40,1000,3200,20241003,1030646,30,Digitization
4805000267,50,1000,1000,20220715,1012816,12,Information Technology
4805000267,80,4100,4100,20190612,1028027,28,SS Global Procurement
4805000268,30,3000,10M1,20240624,1025138,25,Human Resources
4805000269,60,2000,2100,20200413,1017249,17,Technology & Innovation
4509000120,10,2000,10M1,20190921,1023831,23,Corporate Affairs
4805000270,40,4100,3200,20231023,1030471,30,Digitization
4805000271,70,3000,10M1,20170116,1012582,12,Information Technology
4805000272,20,2000,2100,20260204,1012693,12,Information Technology
4805000273,50,1000,10M2,20211221,1027804,27,Manufacturing Support
4509000121,60,3000,3200,20250114,1010116,10,Finance
4805000274,30,3000,10M2,20210823,1014126,14,SS Facility Mgt
4805000275,60,2000,10M2,20250221,1009237,9,Executive Office
4805000276,10,1000,10M2,20211103,1015348,15,EHSS
4805000276,40,4100,10M1,20230207,1032459,32,Supply Chain
4509000123,30,4100,4100,20250922,1015301,15,EHSS
4805000278,20,2000,2100,20170127,1032681,32,Supply Chain
4805000279,50,1000,10M2,20261125,1015792,15,EHSS
4805000279,80,4100,4100,20221219,1012003,12,Information Technology
4805000280,30,3000,3200,20181222,1012114,12,Information Technology
4509000125,80,1000,1031,20221202,1028486,28,SS Global Procurement
4805000282,10,1000,3200,20220127,1015336,15,EHSS
4805000282,40,4100,3200,20190512,1027447,27,Manufacturing Support
4805000283,70,3000,2100,20180223,1035558,35,Sales & Marketing
4805000284,20,2000,10M1,20260106,1020669,20,Legal
4509000126,50,2000,10M1,20180926,1027671,27,Manufacturing Support
4805000285,80,4100,4100,20260316,1012891,12,Information Technology
4805000286,30,3000,1000,20191027,1023102,23,Corporate Affairs
4805000287,60,2000,10M2,20190917,1014213,14,SS Facility Mgt
4805000288,10,1000,3200,20200921,1010324,10,Finance
4509000128,20,3000,1000,20221007,1028856,28,SS Global Procurement
4805000289,70,3000,10M2,20230423,1017546,17,Technology & Innovation
4805000290,20,2000,4100,20200722,1023657,23,Corporate Affairs
4805000291,50,1000,2100,20260416,1010053,15,EHSS
4805000291,80,4100,10M1,20250406,1028879,28,SS Global Procurement
4509000130,70,4100,1033,20240210,1030141,30,Digitization
4805000293,60,2000,1000,20200809,1028201,28,SS Global Procurement
4805000294,10,1000,1031,20190612,1035312,35,Sales & Marketing
4805000294,40,4100,1033,20260619,1017423,17,Technology & Innovation
4805000295,70,3000,1000,20240205,1035534,35,Sales & Marketing
4509000131,40,1000,1033,20210726,1015326,15,EHSS
4805000297,50,1000,1033,20191203,1012756,12,Information Technology
4805000297,80,4100,10M1,20221001,1010867,10,Finance
4805000298,30,3000,1000,20200810,1032078,32,Supply Chain
4805000299,60,2000,1000,20250504,1030189,30,Digitization
4509000133,10,2000,1000,20231216,1017511,17,Technology & Innovation
4805000300,40,4100,1000,20260712,1027411,27,Manufacturing Support
4805000301,70,3000,4100,20181125,1030522,30,Digitization
4805000302,20,2000,1100,20200214,1027633,27,Manufacturing Support
4805000303,50,1000,1031,20190801,1030744,30,Digitization
4509000135,60,3000,10M2,20250425,1012696,12,Information Technology
4805000304,30,3000,10M2,20250824,1020066,20,Legal
4805000305,60,2000,1100,20240804,1012177,12,Information Technology
4805000306,10,1000,10M1,20260707,1028288,28,SS Global Procurement
4805000306,40,4100,1100,20230423,1009399,9,Executive Office
4509000136,30,4100,3200,20260603,1023881,23,Corporate Affairs
4805000308,20,2000,1031,20231024,1027621,27,Manufacturing Support
4805000309,50,1000,2100,20210810,1009732,9,Executive Office
4805000309,80,4100,2100,20190405,1030843,30,Digitization
4805000310,30,3000,1033,20250921,1030054,30,Digitization
4509000138,80,1000,10M1,20231027,1010388,28,SS Global Procurement
4805000312,10,1000,1100,20181004,1027276,27,Manufacturing Support
4805000312,40,4100,3200,20180313,1032387,32,Supply Chain
4805000313,70,3000,10M2,20220115,1012498,12,Information Technology
4805000314,20,2000,1031,20250401,1030609,30,Digitization
4509000140,50,2000,10M2,20250622,1015351,15,EHSS
4805000315,80,4100,4100,20170115,1017831,17,Technology & Innovation
4805000316,30,3000,1000,20260515,1010042,10,Finance
4805000317,60,2000,1033,20210312,1027153,27,Manufacturing Support
4805000318,10,1000,1033,20240122,1035264,35,Sales & Marketing
4509000141,20,3000,4100,20210706,1020536,20,Legal
4805000319,70,3000,1031,20231113,1030486,30,Digitization
4805000320,20,2000,2100,20190817,1010597,10,Finance
4805000321,50,1000,2100,20260208,1032708,32,Supply Chain
4805000321,80,4100,10M1,20181017,1012819,12,Information Technology
4509000143,70,4100,3200,20241022,1020721,20,Legal
4805000323,60,2000,1100,20210524,1030141,30,Digitization
4805000324,10,1000,1100,20171115,1028252,28,SS Global Procurement
4805000324,40,4100,1000,20181110,1032363,32,Supply Chain
4805000325,70,3000,1031,20181203,1035474,35,Sales & Marketing
4509000145,40,1000,3200,20180417,1017006,17,Technology & Innovation
4805000327,50,1000,10M2,20250427,1017696,17,Technology & Innovation
4805000327,80,4100,1033,20220626,1030807,30,Digitization
4805000328,30,3000,2100,20211201,1012018,12,Information Technology
4805000329,60,2000,4100,20190209,1027129,27,Manufacturing Support
4509000146,10,2000,1000,20230622,1032191,32,Supply Chain
4805000330,40,4100,4100,20200504,1035351,35,Sales & Marketing
4805000331,70,3000,1031,20210202,1027462,27,Manufacturing Support
4805000332,20,2000,10M2,20240527,1032573,32,Supply Chain
